File /home/krishna/.selected_editor is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/User/History/443137a5/entries.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/User/History/443137a5/wLlc.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/User/History/10da0254/entries.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/User/History/10da0254/UYVv.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/machineid is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/CachedProfilesData/__default__profile__/extensions.builtin.cache is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/CachedProfilesData/__default__profile__/extensions.user.cache is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/tar-stream/pack.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/tar-stream/sandbox.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/tar-stream/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/tar-stream/extract.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/tar-stream/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/tar-stream/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/tar-stream/headers.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/napi-build-utils/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/napi-build-utils/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/napi-build-utils/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/napi-build-utils/index.md is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/buffer/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/buffer/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/buffer/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/buffer/AUTHORS.md is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/file-uri-to-path/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/file-uri-to-path/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/file-uri-to-path/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-gyp-build/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-gyp-build/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-gyp-build/optional.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-gyp-build/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-gyp-build/node-gyp-build.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-gyp-build/bin.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-gyp-build/build-test.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/strip-json-comments/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/strip-json-comments/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/strip-json-comments/license is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/jsonfile/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/jsonfile/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/jsonfile/utils.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/jsonfile/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/wrappy/wrappy.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/wrappy/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/wrappy/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/pend/test.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/pend/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/pend/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/pend/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fill-range/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fill-range/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fill-range/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/build/Release/pty.node is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/windowsTerminal.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/types.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/interfaces.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/unixTerminal.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/eventEmitter2.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/utils.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/windowsConoutConnection.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/worker/conoutSocketWorker.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/shared/conout.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/terminal.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/windowsPtyAgent.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/node-pty/lib/conpty_console_list_agent.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/smart-buffer/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/smart-buffer/build/utils.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/smart-buffer/build/smartbuffer.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/smart-buffer/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/package.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/LICENSE is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/lib/mkdirs/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/lib/mkdirs/utils.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/lib/mkdirs/make-dir.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/lib/fs/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/lib/move/index.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/lib/move/move-sync.js is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/bin/384ff7382de624fb94dbaf6da11977bba1ecd427/node_modules/fs-extra/lib/move/move.js is unchanged, skipping backup.
